H,T(K),P,rho,a
140000,690.23,0.00099656,0.0000000044059,562.73
138000,662.03,0.001085,0.0000000050219,549.98
136000,633.2,0.0011862,0.0000000057642,536.75
134000,603.8,0.0013028,0.0000000066673,523.03
132000,573.92,0.0014382,0.0000000077777,508.8
130000,543.64,0.0015971,0.0000000091586,494.1
128000,513.08,0.0017852,0.000000010897,478.91
126000,482.33,0.0020105,0.000000013117,463.23
124000,451.51,0.0022837,0.000000015994,447.1
122000,420.96,0.0026195,0.000000019776,430.63
120000,391.14,0.0030381,0.000000024813,414.02
118000,362.27,0.0035586,0.000000031544,397.42
116000,334.29,0.0042072,0.000000040626,380.77
114000,307.3,0.0050374,0.0000000532,364.09
112000,281.47,0.0061342,0.000000071147,347.43
110000,256.31,0.0076369,0.000000097908,330.46
108000,236.08,0.0097576,0.0000001367,316.12
106000,218.13,0.012808,0.00000019552,302.84
104000,204.1,0.017282,0.00000028394,291.91
102000,194.53,0.023846,0.00000041385,284.02
100000,186.92,0.033513,0.00000060943,277.47
98000,183.88,0.047755,0.00000088752,274.46
96000,182.1,0.068407,0.0000012906,272.41
94000,182.59,0.099068,0.0000018719,272.2
92000,185.12,0.14414,0.000002695,273.64
90000,188,0.20815,0.0000038446,275.31
88000,191.5,0.29567,0.0000053673,277.71
86000,195.01,0.41743,0.0000074491,280.09
84000,198.22,0.58439,0.000010266,282.3
82000,201.03,0.81207,0.000014068,284.28
80000,203.76,1.1235,0.000019203,286.2
78000,206.03,1.5487,0.000026179,287.79
76000,208.28,2.1284,0.000035588,289.36
74000,211.57,2.9186,0.000048046,291.62
72000,215.86,3.9834,0.000064285,294.53
70000,220.11,5.404,0.000085552,297.38
68000,226.37,7.2811,0.00011209,301.56
66000,232.53,9.7301,0.00014583,305.63
64000,238.16,12.92,0.00018903,309.34
62000,243.32,17.07,0.0002444,312.7
60000,248.43,22.427,0.00031444,316
58000,253.49,29.288,0.00040259,319.14
56000,258.59,38.052,0.00051291,322.28
54000,262.42,49.199,0.00065349,324.66
52000,265,63.429,0.0008341,326.29
50000,267.67,81.578,0.0010619,327.95
48000,266.76,104.76,0.0013681,327.42
46000,265.9,134.63,0.0017638,326.9
44000,263.47,173.29,0.0022911,325.41
42000,259.38,223.88,0.0030066,322.87
40000,255.19,290.21,0.0039614,320.25
38000,249.51,378.72,0.0052875,316.66
36000,243.81,497.32,0.0071057,313.02
34000,238.3,657.52,0.0096138,309.44
32000,233.04,875.1,0.01309,305.93
30000,227.71,1171.1,0.017935,302.35
28000,222.12,1575.9,0.024722,298.74
26000,217.32,2135.1,0.03423,295.51
24000,213.91,2919.9,0.047558,293.18
22000,208.77,4024.3,0.067159,289.64
20000,203.41,5575.5,0.095505,285.89
18000,199.76,7814.1,0.13629,283.32
16000,202.57,10959,0.18849,285.3
14000,210.61,15237,0.25208,290.9
12000,219.87,20857,0.33048,297.25
10000,232.41,28154,0.422,305.62
8000,246.69,37336,0.52712,314.9
6000,260.53,48822,0.65256,323.64
4000,272.73,62973,0.80372,331.2
2000,281.99,80449,0.99145,337.05
0,290,102000,1.221,341.98
